date,open,high,low,close,volume,foreign_ownership,code,name
2023-10-05,59100,67600,46450,51400,23416071,3.48,454910,Doosan Robotics
2023-10-06,49550,53400,49100,51800,6183396,3.16,454910,Doosan Robotics
2023-10-10,51200,51300,46300,46650,4693925,2.61,454910,Doosan Robotics
2023-10-11,47600,49100,45400,46900,3303330,2.64,454910,Doosan Robotics
2023-10-12,47250,50200,46700,47800,4428666,2.65,454910,Doosan Robotics
2023-10-13,47550,47600,45700,45750,1714981,2.45,454910,Doosan Robotics
2023-10-16,44650,44700,41300,41650,2296251,2.41,454910,Doosan Robotics
2023-10-17,42450,44050,42000,42400,2108796,2.41,454910,Doosan Robotics
2023-10-18,42450,43500,41100,41100,1281198,2.44,454910,Doosan Robotics
2023-10-19,40750,40750,38150,38250,1320711,2.42,454910,Doosan Robotics
2023-10-20,37050,37400,35150,35500,1404496,2.37,454910,Doosan Robotics
2023-10-23,34900,37250,34800,36000,1123104,2.42,454910,Doosan Robotics
2023-10-24,36650,37050,34650,36150,787565,2.37,454910,Doosan Robotics
2023-10-25,36550,36600,35000,35100,504879,2.33,454910,Doosan Robotics
2023-10-26,33800,34350,33200,33250,644789,2.31,454910,Doosan Robotics
2023-10-27,33500,33650,32150,32300,608641,2.32,454910,Doosan Robotics
2023-10-30,32300,41950,32150,41150,8438127,2.44,454910,Doosan Robotics
2023-10-31,40450,41000,36850,37250,3557781,2.27,454910,Doosan Robotics
2023-11-01,37250,42250,37250,40200,5184793,2.42,454910,Doosan Robotics
2023-11-02,41000,43400,41000,41650,2616980,2.53,454910,Doosan Robotics
2023-11-03,43100,46250,41550,44800,4902547,2.6,454910,Doosan Robotics
2023-11-06,43900,48250,43350,46950,5550072,2.22,454910,Doosan Robotics
2023-11-07,46950,47000,43800,46000,1823105,1.83,454910,Doosan Robotics
2023-11-08,45950,48350,44650,47100,2999389,1.82,454910,Doosan Robotics
2023-11-09,46600,48500,45800,47100,1803648,1.74,454910,Doosan Robotics
2023-11-10,46250,47850,45950,46850,940634,1.7,454910,Doosan Robotics
2023-11-13,47600,48100,42850,43550,1527166,1.76,454910,Doosan Robotics
2023-11-14,43000,45250,42550,43400,1072622,1.69,454910,Doosan Robotics
2023-11-15,45100,48000,44150,46900,2827539,2.14,454910,Doosan Robotics
2023-11-16,48500,51300,48250,51100,4587796,2.25,454910,Doosan Robotics
2023-11-17,50500,52400,48300,51400,2847700,1.79,454910,Doosan Robotics
2023-11-20,50800,61100,50200,58500,9112133,2.32,454910,Doosan Robotics
2023-11-21,58200,60700,57300,59600,3954875,2.62,454910,Doosan Robotics
2023-11-22,59600,69100,59300,63600,11265423,2.43,454910,Doosan Robotics
2023-11-23,64000,69600,63100,64300,6850460,2.56,454910,Doosan Robotics
2023-11-24,66500,75300,64700,74400,10028277,3.3,454910,Doosan Robotics
2023-11-27,76700,89100,75100,80100,13405683,1.61,454910,Doosan Robotics
2023-11-28,80100,82900,74700,81800,7395597,1.34,454910,Doosan Robotics
2023-11-29,84600,94700,80900,82900,12924160,0.99,454910,Doosan Robotics
2023-11-30,84000,92900,84000,92900,6996550,1.93,454910,Doosan Robotics
2023-12-01,95100,97900,88000,88800,5690146,0.84,454910,Doosan Robotics
2023-12-04,84700,86300,78900,79900,3964221,1.16,454910,Doosan Robotics
2023-12-05,80900,86000,79000,81700,4298999,1.48,454910,Doosan Robotics
2023-12-06,80100,89700,76900,89100,5607749,2.21,454910,Doosan Robotics
2023-12-07,87200,90900,82100,82200,3144097,1.63,454910,Doosan Robotics
2023-12-08,84200,88900,83200,85300,3354779,1.63,454910,Doosan Robotics
2023-12-11,87500,91700,87100,89300,3639528,2.37,454910,Doosan Robotics
2023-12-12,90000,91200,86600,90100,2307460,2.32,454910,Doosan Robotics
2023-12-13,88900,90100,85500,86100,1771931,1.81,454910,Doosan Robotics
2023-12-14,88500,89000,84600,86100,1720285,1.71,454910,Doosan Robotics
2023-12-15,87500,94900,87400,94500,5141163,2.63,454910,Doosan Robotics
2023-12-18,93700,109400,92000,107800,8284618,2.48,454910,Doosan Robotics
2023-12-19,108700,118400,103500,107800,6280674,2.05,454910,Doosan Robotics
2023-12-20,109400,122500,107600,121800,9221571,2.8,454910,Doosan Robotics
2023-12-21,117700,124500,117000,119100,3570643,2.27,454910,Doosan Robotics
2023-12-22,120500,122600,110000,112300,2447432,1.97,454910,Doosan Robotics
2023-12-26,111300,117200,108000,112200,2481625,2.08,454910,Doosan Robotics
2023-12-27,112000,114900,102900,108600,2784354,1.55,454910,Doosan Robotics
2023-12-28,109000,118500,108500,116100,3134713,1.97,454910,Doosan Robotics
2024-01-02,116100,116800,111100,112800,1613732,1.57,454910,Doosan Robotics
2024-01-03,111000,115600,108200,108500,1534903,1.46,454910,Doosan Robotics
2024-01-04,107400,111600,106300,109200,1115910,1.44,454910,Doosan Robotics
2024-01-05,100500,105400,98600,101800,4850465,1.32,454910,Doosan Robotics
2024-01-08,102300,106400,100900,103300,2439092,1.37,454910,Doosan Robotics
